listing_id,property_id,list_date,status,list_price,listing_agent,description
L380,P568,2024-01-08,Leased,42064982,James Davis,Spacious layout with stone countertops and built-in shelving.
L381,P169,2022-06-23,Sold,68503827,Stephen Long,"Modern design with bonus room, pool with sundeck, breakfast nook."
L382,P956,2023-11-03,Active,19199711,Ryan Fuller,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L383,P820,2023-12-20,Pending,93484304,Daryl Brown II,Spacious layout with stone countertops and built-in shelving.
L384,P288,2023-07-29,Leased,35774773,Kyle Brandt,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L385,P861,2023-09-24,Pending,91341411,David Hernandez MD,Stunning security system and hardwood floors throughout highlight this home's appeal.
L386,P931,2023-05-22,Pending,44097878,Daniel Riddle,Enjoy the bonus room and stainless steel appliances in this lovely property.
L387,P008,2023-12-04,Leased,50007640,Maria Nixon,Spacious layout with stone countertops and built-in shelving.
L388,P490,2022-02-19,Pending,19692626,George Herrera,"Charming property offering fireplace, pantry."
L389,P669,2022-08-11,Active,13715759,Ashley Reyes,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L390,P238,2022-10-09,Sold,50018088,Pamela Petersen,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L391,P355,2023-11-27,Sold,93848229,Jacob Williams,"Modern design with bonus room, pool with sundeck, breakfast nook."
L392,P703,2023-10-14,Sold,87506945,Amanda Sanders,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L393,P486,2023-10-01,Leased,24318417,Emily Martin,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L394,P105,2022-04-09,Pending,74363843,John Boyle,Stunning security system and hardwood floors throughout highlight this home's appeal.
L395,P859,2023-03-08,Leased,19685183,Kathryn Morales,Enjoy the bonus room and stainless steel appliances in this lovely property.
L396,P429,2022-06-07,Sold,27165473,Elizabeth Owens MD,Relax in the exercise room or entertain in the granite countertops of this home.
L397,P676,2024-02-05,Sold,39735279,Caleb Rodriguez Jr.,Enjoy the bonus room and stainless steel appliances in this lovely property.
L398,P528,2023-01-04,Pending,57565738,Ronald Thompson,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L399,P315,2023-03-15,Pending,59126860,Nicholas Hernandez,Enjoy the bonus room and stainless steel appliances in this lovely property.
L400,P500,2023-10-11,Sold,10809445,Lucas Elliott Jr.,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L401,P126,2022-08-04,Active,86447900,Tom Young,Spacious layout with stone countertops and built-in shelving.
L402,P523,2023-05-30,Sold,57138723,Dennis Carr,Relax in the exercise room or entertain in the granite countertops of this home.
L403,P978,2022-12-01,Leased,84836457,Allison Craig,Stunning security system and hardwood floors throughout highlight this home's appeal.
L404,P679,2022-09-02,Sold,89021186,Maurice Jimenez,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L405,P837,2023-08-06,Active,51576067,Meghan Weaver,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L406,P773,2022-08-01,Active,65942883,Austin Farrell,"Charming property offering fireplace, pantry."
L407,P429,2022-10-20,Pending,16877587,Elizabeth Jones,"Modern design with bonus room, pool with sundeck, breakfast nook."
L408,P828,2022-10-05,Pending,37562420,Jeffrey Williams,Stunning security system and hardwood floors throughout highlight this home's appeal.
L409,P532,2022-07-16,Active,66548878,Richard Owens,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L410,P114,2022-10-16,Sold,82519589,Rhonda Hubbard,"Modern design with bonus room, pool with sundeck, breakfast nook."
L411,P758,2022-07-24,Leased,50773944,Isaiah Pacheco,Relax in the exercise room or entertain in the granite countertops of this home.
L412,P279,2023-10-17,Active,14618119,Ms. April Vaughn DDS,Relax in the exercise room or entertain in the granite countertops of this home.
L413,P807,2023-02-05,Active,45399393,James Graham,"Charming property offering fireplace, pantry."
L414,P235,2023-07-02,Active,85724254,Virginia Garza,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L415,P173,2022-03-31,Active,91391079,Daniel Roberts,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L416,P163,2023-06-23,Active,78134677,Gregory Stewart,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L417,P229,2023-07-14,Active,23285140,William Olson,"Charming property offering fireplace, pantry."
L418,P716,2023-05-13,Active,2156666,Shannon Miller,Stunning security system and hardwood floors throughout highlight this home's appeal.
L419,P680,2022-05-23,Sold,2346391,Ashley Hall,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L420,P856,2023-03-12,Leased,95287643,Sarah Rogers,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L421,P335,2023-12-20,Active,7871447,Harry Gomez,Stunning security system and hardwood floors throughout highlight this home's appeal.
L422,P002,2022-08-22,Pending,66112200,Denise Walker,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L423,P888,2022-03-30,Active,99430596,Terri Moore,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L424,P297,2023-09-17,Pending,55153169,Tracy Bishop,"Charming property offering fireplace, pantry."
L425,P683,2023-07-11,Sold,85199496,Crystal Murphy,"Modern design with bonus room, pool with sundeck, breakfast nook."
L426,P064,2022-12-13,Leased,72093463,Timothy Mason,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L427,P707,2022-05-29,Active,52996957,Corey Jones,"Charming property offering fireplace, pantry."
L428,P843,2023-11-21,Leased,60205014,Larry Boyd,Enjoy the bonus room and stainless steel appliances in this lovely property.
L429,P411,2023-08-15,Pending,4802937,Brendan Patel,Relax in the exercise room or entertain in the granite countertops of this home.
L430,P202,2022-03-24,Leased,71697555,Michelle Palmer,Stunning security system and hardwood floors throughout highlight this home's appeal.
L431,P865,2023-11-08,Leased,54558531,Matthew Jenkins,Stunning security system and hardwood floors throughout highlight this home's appeal.
L432,P490,2022-07-07,Leased,36967110,William Greene,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L433,P275,2023-01-21,Pending,57102005,David Andrews,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L434,P276,2023-09-13,Sold,39388354,Jennifer Cross,Enjoy the bonus room and stainless steel appliances in this lovely property.
L435,P474,2023-06-03,Leased,76703924,Kristin Roberts,Spacious layout with stone countertops and built-in shelving.
L436,P995,2022-07-15,Pending,50842026,Matthew Faulkner,Stunning security system and hardwood floors throughout highlight this home's appeal.
L437,P598,2023-08-09,Active,17158964,Joseph Zimmerman,"Modern design with bonus room, pool with sundeck, breakfast nook."
L438,P504,2022-12-06,Active,22561525,Michael Potts,Relax in the exercise room or entertain in the granite countertops of this home.
L439,P049,2023-03-29,Pending,69154134,Jeremiah Lloyd,Stunning security system and hardwood floors throughout highlight this home's appeal.
L440,P783,2023-11-09,Sold,38402024,Wendy Warner,Enjoy the bonus room and stainless steel appliances in this lovely property.
L441,P558,2023-11-09,Sold,31545522,Joshua Singh,Relax in the exercise room or entertain in the granite countertops of this home.
L442,P839,2022-03-31,Active,46246995,Jonathan King,"Modern design with bonus room, pool with sundeck, breakfast nook."
L443,P665,2023-09-18,Pending,96354767,Michelle Johnson,"Charming property offering fireplace, pantry."
L444,P315,2022-07-30,Pending,24515594,David Townsend,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L445,P611,2023-09-20,Active,47821886,Robert Brooks,"Modern design with bonus room, pool with sundeck, breakfast nook."
L446,P083,2023-01-21,Active,68614472,Samantha Wilson,Enjoy the bonus room and stainless steel appliances in this lovely property.
L447,P458,2023-12-14,Sold,15766158,Jennifer Bryant,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L448,P990,2023-09-30,Sold,78490418,Jennifer Lee,Enjoy the bonus room and stainless steel appliances in this lovely property.
L449,P188,2023-04-04,Sold,92923229,Caleb Black,Spacious layout with stone countertops and built-in shelving.
L450,P207,2024-01-15,Sold,92666097,Robert Jackson,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L451,P776,2022-09-23,Pending,38693627,Frank Whitehead,Spacious layout with stone countertops and built-in shelving.
L452,P661,2023-11-20,Sold,16860291,Melissa Griffith,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L453,P276,2023-05-13,Active,18002386,David Smith,"Charming property offering fireplace, pantry."
L454,P126,2022-09-29,Active,73607262,Karen Williams,"Modern design with bonus room, pool with sundeck, breakfast nook."
L455,P033,2022-12-11,Sold,77102690,Douglas Hughes,"Charming property offering fireplace, pantry."
L456,P672,2022-09-29,Sold,5253823,Joseph Whitaker,Spacious layout with stone countertops and built-in shelving.
L457,P489,2024-01-17,Sold,13492908,Nicole Buck,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L458,P252,2023-04-26,Pending,41644621,Tracy Mcdonald,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L459,P420,2022-07-16,Sold,64741271,Alicia Anderson,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L460,P296,2022-09-15,Sold,47086434,Erica Morris,Relax in the exercise room or entertain in the granite countertops of this home.
L461,P764,2023-10-31,Sold,26457470,Stephanie Miller,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L462,P699,2023-10-05,Pending,61133805,Mallory Miller,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L463,P032,2023-02-01,Sold,69860328,Keith Vance,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L464,P639,2022-07-19,Active,20088190,Natalie Nelson,Spacious layout with stone countertops and built-in shelving.
L465,P912,2023-11-04,Leased,50303397,Joseph Monroe,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L466,P240,2022-11-11,Pending,86908691,Christopher Young,Relax in the exercise room or entertain in the granite countertops of this home.
L467,P858,2023-10-19,Sold,80664638,Mary Norman,"Modern design with bonus room, pool with sundeck, breakfast nook."
L468,P785,2022-10-15,Leased,49802161,Danielle Quinn,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L469,P717,2023-12-17,Active,25043718,Brianna Anderson,Spacious layout with stone countertops and built-in shelving.
L470,P128,2023-04-20,Active,51606766,Patricia Armstrong,Relax in the exercise room or entertain in the granite countertops of this home.
L471,P924,2023-04-13,Leased,40998210,Brandy Bennett,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L472,P456,2023-03-31,Leased,49085288,James Contreras,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L473,P420,2023-12-19,Leased,49410273,Lisa Chavez,Enjoy the bonus room and stainless steel appliances in this lovely property.
L474,P278,2022-12-10,Pending,59272988,Mark Hardin,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L475,P681,2022-05-23,Active,9434486,Lisa Gardner,Relax in the exercise room or entertain in the granite countertops of this home.
L476,P795,2023-09-12,Sold,55535207,Bob Yang,"Charming property offering fireplace, pantry."
L477,P928,2022-08-27,Active,69326694,Willie Payne,Enjoy the bonus room and stainless steel appliances in this lovely property.
L478,P534,2024-01-05,Pending,4395867,Jessica Adams,"Modern design with bonus room, pool with sundeck, breakfast nook."
L479,P750,2022-04-25,Sold,2900066,Christine Manning,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L480,P1000,2022-06-23,Active,3345599,Andrew Harris,Spacious layout with stone countertops and built-in shelving.
L481,P904,2023-11-01,Active,30560107,Matthew Jones,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L482,P792,2023-05-28,Active,64015592,Alexa Wright,Relax in the exercise room or entertain in the granite countertops of this home.
L483,P002,2022-07-27,Pending,71810583,Scott Lang,"Charming property offering fireplace, pantry."
L484,P823,2023-02-14,Pending,26172866,Bryan Harris,Spacious layout with stone countertops and built-in shelving.
L485,P747,2022-05-14,Leased,11253934,Miranda Decker,Relax in the exercise room or entertain in the granite countertops of this home.
L486,P733,2022-12-29,Sold,50722571,Amy Moore,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L487,P641,2023-11-13,Leased,33889163,Joe Cox,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L488,P898,2022-05-31,Active,97402140,Laura Higgins,Relax in the exercise room or entertain in the granite countertops of this home.
L489,P631,2022-12-29,Sold,89461120,Shannon Nash,"Modern design with bonus room, pool with sundeck, breakfast nook."
L490,P982,2023-02-19,Sold,92714032,Carlos Smith,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L491,P147,2022-06-30,Active,72748030,Juan Garcia,Enjoy the bonus room and stainless steel appliances in this lovely property.
L492,P513,2022-02-27,Sold,71994192,Caleb Andrews,Enjoy the bonus room and stainless steel appliances in this lovely property.
L493,P367,2022-11-23,Sold,74980268,Seth Stevens,Enjoy the bonus room and stainless steel appliances in this lovely property.
L494,P402,2023-05-10,Sold,72331996,Jackie Cabrera,Relax in the exercise room or entertain in the granite countertops of this home.
L495,P911,2022-04-12,Sold,40972717,Christopher Barrett,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L496,P266,2023-06-24,Active,53904845,Michael Dunn,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L497,P008,2022-03-19,Pending,44632471,Jennifer Hicks,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L498,P101,2022-10-19,Leased,87822185,Justin Cortez,Enjoy the bonus room and stainless steel appliances in this lovely property.
L499,P627,2023-08-10,Sold,61364327,Daniel Mcpherson,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L500,P186,2023-08-25,Active,63004017,Laura Rodriguez,"Charming property offering fireplace, pantry."
L501,P542,2023-12-16,Sold,35609042,Emma Gonzalez,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L502,P193,2023-03-01,Pending,15462786,Joan Crawford,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L503,P397,2022-05-15,Pending,21416991,Michael Curtis,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L504,P651,2022-10-23,Active,3019219,Roger Carter,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L505,P085,2023-07-13,Active,63029750,Jennifer Lee,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L506,P732,2022-03-04,Active,22723140,Sarah Fernandez,Spacious layout with stone countertops and built-in shelving.
L507,P176,2024-01-01,Active,56149329,Kimberly Campos,Stunning security system and hardwood floors throughout highlight this home's appeal.
L508,P258,2023-07-05,Sold,83281247,Ian Watson,Relax in the exercise room or entertain in the granite countertops of this home.
L509,P009,2023-10-12,Active,39873609,Victor Flores,Spacious layout with stone countertops and built-in shelving.
L510,P025,2022-04-18,Active,90027954,Kimberly Cooper,Relax in the exercise room or entertain in the granite countertops of this home.
L511,P608,2022-04-07,Leased,77424536,Dustin Swanson,Spacious layout with stone countertops and built-in shelving.
L512,P799,2023-10-04,Leased,90416663,Juan Walker,Spacious layout with stone countertops and built-in shelving.
L513,P915,2023-10-20,Leased,76979287,Richard Mitchell,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L514,P883,2023-06-19,Sold,14139913,Gabriella Haas,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L515,P106,2022-05-29,Active,47208286,Lucas Quinn,Relax in the exercise room or entertain in the granite countertops of this home.
L516,P029,2023-12-22,Sold,59324144,Mrs. Brandi Cobb,Relax in the exercise room or entertain in the granite countertops of this home.
L517,P391,2022-10-20,Pending,66135770,Jeffrey Freeman,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L518,P695,2023-01-13,Leased,16439092,Jennifer Stewart,Relax in the exercise room or entertain in the granite countertops of this home.
L519,P739,2023-06-21,Active,18117559,Sarah Brown,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L520,P662,2023-06-10,Pending,80804143,Mary Smith,Spacious layout with stone countertops and built-in shelving.
L521,P225,2022-07-29,Active,95132981,Isaiah Moody,Enjoy the bonus room and stainless steel appliances in this lovely property.
L522,P994,2023-06-30,Sold,31376842,Stanley Stanley,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L523,P254,2022-08-22,Sold,35103703,Beth West,Stunning security system and hardwood floors throughout highlight this home's appeal.
L524,P220,2023-03-06,Sold,11700705,Donald Walker,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L525,P639,2022-06-12,Sold,85256203,Patricia Maxwell,"Modern design with bonus room, pool with sundeck, breakfast nook."
L526,P031,2022-11-08,Leased,88779013,Kristen Allen,Spacious layout with stone countertops and built-in shelving.
L527,P124,2022-06-07,Sold,47470652,Jeffrey Collins,Enjoy the bonus room and stainless steel appliances in this lovely property.
L528,P049,2023-10-16,Leased,98502138,Matthew Gray,Enjoy the bonus room and stainless steel appliances in this lovely property.
L529,P333,2023-11-27,Sold,2986809,Bonnie Carter,Enjoy the bonus room and stainless steel appliances in this lovely property.
L530,P587,2022-04-19,Leased,65896298,Douglas Warren PhD,Spacious layout with stone countertops and built-in shelving.
L531,P625,2023-01-04,Leased,28568950,Jessica Thompson,Relax in the exercise room or entertain in the granite countertops of this home.
L532,P672,2023-10-15,Pending,48759390,Jessica Benson,Relax in the exercise room or entertain in the granite countertops of this home.
L533,P489,2022-06-24,Leased,77566666,Natalie Long,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L534,P881,2023-03-25,Active,18174601,Heather Grimes,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L535,P938,2023-10-05,Sold,85608591,Rodney Williams,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L536,P211,2022-11-13,Sold,15556933,Jennifer Scott,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L537,P162,2023-03-04,Active,63076625,Susan Rivera,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L538,P581,2023-05-22,Sold,67359739,Gary Rogers,"Modern design with bonus room, pool with sundeck, breakfast nook."
L539,P695,2023-01-02,Sold,10812870,Julia Johnson,Spacious layout with stone countertops and built-in shelving.
L540,P594,2023-10-10,Leased,98670683,Valerie Howard,Stunning security system and hardwood floors throughout highlight this home's appeal.
L541,P429,2023-07-03,Leased,99309800,Jean Jones,Stunning security system and hardwood floors throughout highlight this home's appeal.
L542,P756,2023-08-29,Active,89902332,Crystal Walters,Spacious layout with stone countertops and built-in shelving.
L543,P497,2023-08-12,Active,12088270,Andre Johnston,"Modern design with bonus room, pool with sundeck, breakfast nook."
L544,P659,2023-05-29,Sold,16359985,William Shaffer,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L545,P671,2023-05-14,Leased,70776243,Derek Thomas,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L546,P773,2023-07-28,Pending,35677562,Candace Leon,"Modern design with bonus room, pool with sundeck, breakfast nook."
L547,P262,2023-04-23,Leased,69334006,Rachel Wilson,Enjoy the bonus room and stainless steel appliances in this lovely property.
L548,P004,2023-11-22,Pending,33384027,Rebecca Waters,Spacious layout with stone countertops and built-in shelving.
L549,P610,2022-07-24,Sold,60153337,Renee Dean,Relax in the exercise room or entertain in the granite countertops of this home.
L550,P459,2023-06-03,Pending,49011278,Karen Moore,Enjoy the bonus room and stainless steel appliances in this lovely property.
L551,P467,2023-03-03,Leased,45334589,Edward Hansen,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L552,P241,2023-01-07,Pending,54718435,Kim Bates,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L553,P583,2023-04-11,Pending,8779806,Scott Jackson,Spacious layout with stone countertops and built-in shelving.
L554,P293,2023-04-03,Leased,97414356,Robert Martinez,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L555,P417,2023-03-01,Active,46042587,Marissa Jones,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L556,P119,2022-02-22,Sold,93824240,Jessica Mcdonald,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L557,P581,2022-07-03,Pending,95446876,Craig Brown,Relax in the exercise room or entertain in the granite countertops of this home.
L558,P038,2023-12-16,Pending,62427864,Claire Noble,Stunning security system and hardwood floors throughout highlight this home's appeal.
L559,P279,2023-02-11,Sold,77009452,Zachary Sandoval,Enjoy the bonus room and stainless steel appliances in this lovely property.
L560,P875,2022-11-30,Pending,54208828,Jennifer Perkins,"Charming property offering fireplace, pantry."
L561,P234,2022-11-01,Sold,61044666,Traci Riggs,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L562,P085,2022-09-07,Sold,90541858,Susan Green,Relax in the exercise room or entertain in the granite countertops of this home.
L563,P138,2024-02-11,Pending,74381958,Brandon Sherman,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L564,P352,2023-11-07,Leased,54732970,Eric Garcia,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L565,P439,2023-04-04,Pending,39347126,Jody Jones,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L566,P178,2023-09-10,Leased,21236285,Mikayla Butler,Enjoy the bonus room and stainless steel appliances in this lovely property.
L567,P413,2023-11-23,Sold,53044917,Erin Chandler,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L568,P609,2023-10-13,Pending,54193016,Joshua Foster,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L569,P200,2023-12-02,Leased,5823924,Angela Sanchez,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L570,P500,2023-02-02,Active,75153667,Joshua Day,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L571,P902,2023-03-31,Pending,43396935,Emily Miller,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L572,P870,2022-06-23,Sold,3156702,Vanessa Vazquez,"Modern design with bonus room, pool with sundeck, breakfast nook."
L573,P602,2022-02-27,Sold,3116757,Jonathan Mcclure,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L574,P519,2023-05-12,Pending,65275949,Laura Young,Enjoy the bonus room and stainless steel appliances in this lovely property.
L575,P215,2023-05-14,Sold,17870049,Sandra Hudson,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L576,P404,2022-11-17,Active,46022537,Michelle Ellis,Stunning security system and hardwood floors throughout highlight this home's appeal.
L577,P082,2022-04-12,Active,86505638,Omar Walters,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L578,P446,2023-07-12,Sold,12912198,Amanda Leonard,"Charming property offering fireplace, pantry."
L579,P519,2023-07-31,Sold,85697446,William Glass,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L580,P784,2022-06-29,Leased,42103059,Sheila Flores,"Charming property offering fireplace, pantry."
L581,P963,2023-12-30,Sold,15744390,Stephanie Schneider,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L582,P458,2024-01-08,Sold,39987667,Curtis Mason,Relax in the exercise room or entertain in the granite countertops of this home.
L583,P018,2022-10-17,Sold,59275278,Linda Macias,Spacious layout with stone countertops and built-in shelving.
L584,P405,2023-06-18,Pending,65448412,Tammy Ramirez,Relax in the exercise room or entertain in the granite countertops of this home.
L585,P346,2022-04-06,Active,93701676,Christopher Burns DDS,Spacious layout with stone countertops and built-in shelving.
L586,P039,2022-08-25,Active,96723975,Donna Andrade,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L587,P363,2023-03-13,Pending,91863706,John Crawford,"Charming property offering fireplace, pantry."
L588,P550,2022-10-25,Pending,68618649,Kyle Browning,Stunning security system and hardwood floors throughout highlight this home's appeal.
L589,P915,2022-04-20,Leased,41844165,Jonathan Carter,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L590,P019,2023-05-31,Leased,88410087,Timothy Leonard,Relax in the exercise room or entertain in the granite countertops of this home.
L591,P302,2022-05-30,Active,20943144,Pamela Adams,Stunning security system and hardwood floors throughout highlight this home's appeal.
L592,P817,2022-05-29,Leased,58780555,Cesar Ford,"Charming property offering fireplace, pantry."
L593,P383,2023-06-22,Leased,91794942,Theresa Garza,"Charming property offering fireplace, pantry."
L594,P288,2023-08-08,Leased,78657963,Paula Lopez,Relax in the exercise room or entertain in the granite countertops of this home.
L595,P736,2023-05-09,Sold,6076482,Amber Jackson,"Modern design with bonus room, pool with sundeck, breakfast nook."
L596,P123,2023-03-06,Pending,96534648,Dominic Meyer,Relax in the exercise room or entertain in the granite countertops of this home.
L597,P889,2023-08-06,Pending,50229856,Heather Kent,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L598,P333,2023-04-07,Sold,69569351,Jacob Espinoza,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L599,P267,2023-04-30,Pending,77412114,Jennifer Dunlap,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L600,P772,2023-06-02,Pending,74195624,Robin Martin,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L601,P878,2023-04-21,Sold,17129185,Robert Stokes,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L602,P398,2022-05-13,Pending,49496301,Andrew Underwood,Spacious layout with stone countertops and built-in shelving.
L603,P351,2023-01-18,Pending,32678304,Yvonne Collins,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L604,P148,2022-04-19,Pending,85764667,Lindsey Glover,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L605,P988,2023-07-06,Pending,8997971,Brandon Delgado,"Charming property offering fireplace, pantry."
L606,P439,2022-03-28,Active,98956344,Sara Jordan,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
